gene.symbol.x	ID	chebi.name	chebi.identifier	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
AIG1	RHEA:52052	hexadecanoate	CHEBI:7896	AIG1_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52056	hexadecanoate	CHEBI:7896	AIG1_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52068	(9Z)-hexadecenoate	CHEBI:32372	AIG1_CHEBI:32372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52072	(9Z)-hexadecenoate	CHEBI:32372	AIG1_CHEBI:32372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52076	(9Z)-hexadecenoate	CHEBI:32372	AIG1_CHEBI:32372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52096	octadecanoate	CHEBI:25629	AIG1_CHEBI:25629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52080	octadecanoate	CHEBI:25629	AIG1_CHEBI:25629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52084	octadecanoate	CHEBI:25629	AIG1_CHEBI:25629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52048	(9Z)-octadecenoate	CHEBI:30823	AIG1_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52060	(9Z)-octadecenoate	CHEBI:30823	AIG1_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52064	(9Z)-octadecenoate	CHEBI:30823	AIG1_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AIG1	RHEA:52092	(9Z)-hexadecenoate	CHEBI:32372	AIG1_CHEBI:32372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HIF1AN	RHEA:54268	2-oxoglutarate	CHEBI:16810	HIF1AN_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HIF1AN	RHEA:54268	succinate	CHEBI:30031	HIF1AN_CHEBI:30031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HIF1AN	RHEA:54264	2-oxoglutarate	CHEBI:16810	HIF1AN_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HIF1AN	RHEA:54264	succinate	CHEBI:30031	HIF1AN_CHEBI:30031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HIF1AN	RHEA:54272	2-oxoglutarate	CHEBI:16810	HIF1AN_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HIF1AN	RHEA:54272	succinate	CHEBI:30031	HIF1AN_CHEBI:30031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HIF1AN	RHEA:54280	2-oxoglutarate	CHEBI:16810	HIF1AN_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HIF1AN	RHEA:54280	succinate	CHEBI:30031	HIF1AN_CHEBI:30031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
